"","no","areas"
"1",1,"Abdullahpur"
"2",2,"Uttara"
"3",3,"Mirpur"
"4",4,"Pallabi"
"5",5,"Kazipara"
"6",6,"Kafrul"
"7",7,"Agargaon"
"8",8,"Sher-e-Bangla Nagar"
"9",9,"Cantonment area"
"10",10,"Banani"
"11",11,"Gulshan"
"12",12,"Niketan, Gulshan"
"13",13,"Mohakhali"
"14",14,"Bashundhara"
"15",15,"Banasree"
"16",16,"Baridhara"
"17",17,"Uttarkhan"
"18",18,"Dakshinkhan"
"19",19,"Bawnia"
"20",20,"Khilkhet"
"21",21,"Tejgaon"
"22",22,"Farmgate"
"23",23,"Mohammadpur"
"24",24,"Rampura"
"25",25,"Badda"
"26",26,"Satarkul"
"27",27,"Beraid"
"28",28,"Khilgaon"
"29",29,"Vatara"
"30",30,"Gabtali"
"31",31,"Hazaribagh"
"32",32,"Dhanmondi"
"33",33,"Segunbagicha"
"34",34,"Ramna"
"35",35,"Motijheel"
"36",36,"Sabujbagh"
"37",37,"Lalbagh"
"38",38,"Kamalapur"
"39",39,"Kamrangirchar"
"40",40,"Islampur"
"41",41,"Sadarghat"
"42",42,"Wari"
"43",43,"Kotwali"
"44",44,"Sutrapur"
"45",45,"Jurain"
"46",46,"Dania"
"47",47,"Demra"
"48",48,"Shyampur"
"49",49,"Nimtoli"
"50",50,"Matuail"
"51",51,"Paribagh"
"52",52,"Shahbagh"
"53",53,"Paltan"
"54",54,"Ashulia"
"55",55,"Birulia"
"56",56,"Savar"
"57",57,"Hasnabad"
"58",58,"Jinjira"
"59",59,"Tegharia"
"60",60,"Jhilmil"
"61",61,"Tongi"
"62",62,"Gazipur"
"63",63,"Fatullah"
"64",64,"Siddhirganj"
"65",65,"Narayanganj"
"66",66,"Old Dhaka"
